Key;English;French;Spanish;German
1;Once upon a time, I got a treasure map. I needed to find the treasure chest faster than the pirates! \Pau=200\ This is, how it all began;Il y a longtemps, j'ai trouvé une carte au trésor. Il fallait que je trouve le coffre au trésor plus vite que les pirates ! \Pau=200\ Voilà comment tout a commencé. ;se una vez, que tenia un mapa del tesoro. Necesitaba encontrar el cofre del tesoro más rápido que los piratas! \Pau=200\ así es como empezó todo;Vor langer Zeit einmal, habe ich eine Schatzkarte gefunden. Ich musste den Schatz eher als die Piraten finden! \Pau=200\ Uns so, begann es
2;I was on a desert island \Pau=300\ and met Captain Octopus.;J'étais sur une île déserte \Pau=300\ , et j'ai rencontré Capitaine Pieuvre.;Yo estaba en una isla desierta \Pau=300\ y conocí capitán pulpo.;Ich war auf einer einsamen Insel und traf Kapitän Oktopus.
3;He gave me the treasure map and told me I would not be disappointed.;Il m'a donné une carte au trésor et m'a dit que je ne serai pas déçu.;Me dio el mapa del tesoro y me dijo que no te decepcionará.;Er gab mir eine Schatzkarte und sagte mir, dass ich bestimmt nicht enttäuscht sein würde.
4;But Benny the pirate was there too. He grabbed the map, from the Captain, and destroyed it.;Mais Benny le pirate était là-bas aussi ! Il a arraché la carte des mains du capitaine et l'a détruite.;Pero Benny el pirata estaba allí también. Agarró el mapa del capitán y la destruyó.;Jedoch war auch Benny der Pirat auf der Insel. Er stohl die Karte vom Kapitän und zerstörte sie.
5;Of course, I had memorized it. I followed the instructions, and moved towards the chest?;Bien sûr, je l'avais mémorisée. J'ai suivi les instructions, et je me suis dirigé vers le coffre.;Por supuesto, yo había aprendido de memoria. Seguí las instrucciones y se trasladó hacia el pecho.;Natürlich habe ich mir den weg auf der Karte gemerkt und konnte somit nach dem Schatz suchen
6;Benny, was that upset, that he went back to his ship and sailed towards new adventures.;Benny était si bouleversé qu'il est retourné à son navire et a vogué vers de nouvelles aventures.;Benny era tan molesto que él regresó a su barco y navegó hacia nuevas aventuras.;Benny war so verärgert, dass er zurück zu seinem Schiff ging und auf zu anderen Abenteuern segelte.
7;The chest I found was special and really old. Inside was a nice music box that turned on automatically.;Le coffre que j'ai trouvé était vraiment unique et ancien. A l'intérieur, il y avait une jolie boîte à musique qui s'est mise en marche automatiquement.;El pecho me encontré fue especial y muy viejo. Dentro había una caja de música agradable que se enciendia automáticamente.;Die Schatzkiste, die ich gefunden habe war einzigartig und wirklich alt. Innen drin befand sich eine Spieluhr, die automatisch losging.
8;Listen, it was beautiful!;Ecoute, c'était très beau !;Escucha, fue hermoso!;Hör nur, es war wunderschön!
9;If you ever meet Captain Octopus, say hi, and thank him! He might want to get you into new adventures!;Si jamais tu rencontre Capitaine Pieuvre, salue-le et remercie-le de ma part ! Il pourrait vouloir te faire vivre de nouvelles aventures !;Si alguna vez conoces al capitán Pulpo, saludalo y dale las gracias! El te conducirá hacia nuevas aventuras!;Wenn du jemals Kapitän Oktopus begegnen solltest, dann grüße ihn und sag ihm Danke von mir! Vielleicht nimmt er dich mit zu neuen Abenteuern!
10;I hope you liked my story !;J'espère que tu as aimé mon histoire ! ;Espero te haya gustado mi historia!;Ich hoffe, dir hat meine Geschichte gefallen! 
11;Ouch, I should train again for this one./ Sorry, I slipped. / I was too tense today, sorry.;Je devrais m'entraîner un peu plus pour celle-ci./ Désolé, j'ai glissé. / J'étais un peu trop tendu aujourd'hui, désolé.;Ouch, debo entrenarme de nuevo para ésta. / Lo siento, me resbalé. / Estoy demasiado tenso hoy, lo lamento.;Autsch, das sollte ich wohl nochmal üben / Tut mir leid, ich bin ausgerutscht / Ich bin wohl heute ein bisschen zu verspannt
12;Sorry I have problems starting this app. Please try again later!;Désolé je ne peux pas démarrer cette application. Essaie à nouveau plus tard!;Lo lamento, tengo problemas al iniciar esta aplicación. Por favor, inténtelo de nuevo más tarde!;Leider kann ich dieses Programm momentan nicht starten. Bitte versuche es später erneut.
