Key;English;French;Spanish;German
1;Sorry I have problems starting this app. Please try again later!;Désolé je ne peux pas démarrer cette application. Essaie à nouveau plus tard!;Lo siento, tengo problemas al iniciar esta aplicación. Por favor, inténtalo de nuevo más tarde!;Leider kann ich dieses Programm momentan nicht starten. Bitte versuche es später erneut.
2;Twas the night before Christmas, \Pau=500\ when all through the house,;C'était la nuit avant Noël,  \Pau=500\ dans la maison tout était calme. ;Era la noche antes de Navidad, \Pau=500\ cuando en toda la casa,;In der Nacht vor dem Christfest, , \Pau=500\ da regte im Haus
3;Not a creature was stirring, not even a mouse.;Pas un bruit, pas un cri, pas même une souris!;Ni una criatura se revolvía, ni siquiera un ratón.;sich niemand und nichts, nicht mal eine Maus.
4;The stockings were hung by the chimney with care, \Pau=500\ In hopes that St Nicholas soon would be there.;Les chaussettes, bien sagement pendues à la cheminée, \Pau=500\  attendaient le Père Noël. Allait-il arriver?;Las medias fueron colgadas en la chimenea con cuidado, \Pau=500\ con la esperanza de que San Nicolás pronto estaría allí.;Die Strümpfe, die hingen paarweis am Kamin \Pau=500\ und warteten drauf, daß Sankt Niklas erschien.
5;The children were nestled all snug in their beds, \Pau=500\ While visions of sugar-plums danced in their heads.;Les enfants, blottis dans leur lit bien au chaud, \Pau=500\ rêvaient de friandises, de bonbons, de gâteaux.;Los niños estaban acostados cómodamente en sus camas, \Pau=500\ Mientras que las visiones de confites bailaban en sus cabezas.;Die Kinder lagen gekuschelt im Bettund träumten vom Äpfel- und Nüsseballett.
6;And mamma in her 'kerchief, \Pau=150\ and I in my cap, \Pau=500\ Had just settled down for a long winter's nap.;Maman sous son fichu,  \Pau=150\ et moi sous mon bonnet, étions prêts à dormir toute une longue nuit d'hiver.;Y mamá en su pañuelo, \Pau=150\ y yo en mi gorra, \Pau=500\ nos habiamos dispuesto para una larga siesta de invierno.;Die Mutter schlief tief, und auch ich schlief brav, wie die Murmeltiere im Winterschlaf,
7;When out, on the lawn, there arose such a clatter, \Pau=650\ I sprang from the bed to see what was the matter.;Quand, dehors, sur la pelouse, un grand bruit retentit, \Pau=650\ Je bondis hors du lit pour voir ce qui se passait.;Cuando afuera, en el césped, surgió tal estruendo, \Pau=650\ que yo salté de la cama para ver qué ocurría.;als draußen vorm Hause ein Lärm losbrach, daß ich aufsprang und dachte: Siehst rasch einmal nach!
8;Away to the window, I flew like a flash, \Pau=500\ Tore open the shutters and threw up the sash.;Vers la fenêtre, \Pau=300\ je volais comme un éclair, \Pau=800\ J'écartais les volets, j'ouvrais grand la croisée.;Fuera de la ventana, volé como un rayo, \Pau=500\ abrí las persianas y voté la faja.;Ich rannte zum Fenster und, fast noch im Lauf, stieß ich die knarrenden Läden auf.
9;The moon on the breast of the new-fallen snow, Gave the lustre of mid-day to objects below.;La lune, sur la neige fraîchement tombée, brillait comme en plein jour.;La luna en el pecho de la nieve recién caída, dio el lustre de mediodía a los objetos de abajo.;Es hatte geschneit, und der Mondschein lag so silbern auf allem, als sei's heller Tag.
10;When, what to my wondering eyes should appear, \Pau=500\ But a miniature sleigh, and eight tiny reindeer.;C'est alors que mes yeux s'écarquillèrent, \Pau=500\ devant un traîneau minuscule, et huit tout petits rennes.;Cuando, lo que a mis ojos maravillados debería aparecer, \Pau=500\ Pero un trineo en miniatura, y ocho minúsculos renos.;Acht winzige Renntierchen kamen gerannt, vor einen ganz, ganz kleinen Schlitten gespannt!
